date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2026-01-10,81,human_1,00:18:37.644,no_helmet,0.81,frames/frame_000081.jpg
2026-01-10,84,human_1,00:18:38.560,no_vest,0.57,frames/frame_000084.jpg
2026-01-10,199,human_2,00:19:17.540,no_vest,0.62,frames/frame_000199.jpg
2026-01-10,200,human_2,00:19:17.813,no_helmet,0.88,frames/frame_000200.jpg
2026-01-10,277,human_3,00:19:42.613,no_helmet,0.76,frames/frame_000277.jpg
2026-01-10,277,human_3,00:19:42.614,no_vest,0.7,frames/frame_000277.jpg
2026-01-10,470,human_2,00:20:46.320,no_gloves,0.76,frames/frame_000470.jpg
2026-01-10,703,human_7,00:22:02.686,no_helmet,0.53,frames/frame_000703.jpg
2026-01-10,719,human_7,00:22:09.133,no_vest,0.66,frames/frame_000719.jpg
