date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-12-10,2,human_2,22:25:28.304,no_helmet,0.79,frames/frame_000002.jpg
2025-12-10,2,human_2,22:25:28.304,no_vest,0.71,frames/frame_000002.jpg
2025-12-10,5,human_1,22:25:29.323,no_vest,0.54,frames/frame_000005.jpg
2025-12-10,32,human_1,22:25:38.351,no_helmet,0.74,frames/frame_000032.jpg
2025-12-10,43,human_1,22:25:42.150,no_gloves,0.72,frames/frame_000043.jpg
2025-12-10,78,human_1,22:26:27.806,no_vest,0.79,frames/frame_000078.jpg
2025-12-10,78,human_2,22:26:27.806,no_vest,0.75,frames/frame_000078.jpg
2025-12-10,85,human_1,22:26:30.224,no_gloves,0.71,frames/frame_000085.jpg
2025-12-10,217,human_2,22:27:20.172,no_helmet,0.61,frames/frame_000217.jpg
2025-12-10,219,human_1,22:27:20.891,no_helmet,0.69,frames/frame_000219.jpg
2025-12-10,219,human_1,22:27:20.891,no_vest,0.62,frames/frame_000219.jpg
2025-12-10,223,human_2,22:27:22.125,no_vest,0.54,frames/frame_000223.jpg
2025-12-10,224,human_3,22:27:22.397,no_vest,0.72,frames/frame_000224.jpg
2025-12-10,224,human_4,22:27:22.398,no_vest,0.81,frames/frame_000224.jpg
2025-12-10,226,human_3,22:27:23.037,no_helmet,0.53,frames/frame_000226.jpg
2025-12-10,240,human_1,22:27:27.508,no_gloves,0.54,frames/frame_000240.jpg
2025-12-10,257,human_4,22:27:32.814,no_helmet,0.57,frames/frame_000257.jpg
2025-12-10,292,human_1,22:28:23.848,no_gloves,0,frames/frame_000292.jpg
2025-12-10,298,human_2,22:28:25.811,no_vest,0.56,frames/frame_000298.jpg
2025-12-10,311,human_5,22:28:30.103,no_gloves,0.56,frames/frame_000311.jpg
2025-12-10,343,human_1,22:28:41.816,no_gloves,0.66,frames/frame_000343.jpg
2025-12-10,353,human_2,22:28:45.147,no_gloves,0.57,frames/frame_000353.jpg
2025-12-10,369,human_1,22:28:53.742,no_vest,0.84,frames/frame_000369.jpg
2025-12-10,370,human_1,22:28:54.017,no_helmet,0.77,frames/frame_000370.jpg
