date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-12-05,34,human_1,21:49:09.071,no_vest,0.78,frames/frame_000034.jpg
2025-12-05,34,human_1,21:49:09.071,no_gloves,0.75,frames/frame_000034.jpg
2025-12-05,37,human_1,21:49:10.579,no_helmet,0.8,frames/frame_000037.jpg
2025-12-05,260,human_2,21:51:04.618,no_helmet,0.8,frames/frame_000260.jpg
2025-12-05,316,human_3,21:51:33.332,no_vest,0.79,frames/frame_000316.jpg
2025-12-05,319,human_3,21:51:34.834,no_gloves,0.64,frames/frame_000319.jpg
2025-12-05,511,human_4,21:53:13.238,no_helmet,0.67,frames/frame_000511.jpg
2025-12-05,511,human_4,21:53:13.238,no_vest,0.79,frames/frame_000511.jpg
2025-12-05,534,human_5,21:53:49.291,no_vest,0.77,frames/frame_000534.jpg
2025-12-05,534,human_6,21:53:49.291,no_vest,0.75,frames/frame_000534.jpg
2025-12-05,538,human_5,21:53:51.376,no_gloves,0.61,frames/frame_000538.jpg
2025-12-05,558,human_6,21:54:02.180,no_gloves,0.53,frames/frame_000558.jpg
2025-12-05,577,human_5,21:54:12.387,no_helmet,0.57,frames/frame_000577.jpg
