date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-11-29,1,human_2,16:40:38.600,no_vest,0.84,frames/frame_000001.jpg
2025-11-29,10,human_1,16:40:42.560,no_helmet,0.65,frames/frame_000010.jpg
2025-11-29,11,human_1,16:40:42.915,no_vest,0.65,frames/frame_000011.jpg
2025-11-29,12,human_4,16:40:43.390,no_vest,0.76,frames/frame_000012.jpg
2025-11-29,15,human_2,16:40:44.441,no_helmet,0.64,frames/frame_000015.jpg
2025-11-29,60,human_4,16:41:00.093,no_helmet,0.71,frames/frame_000060.jpg
2025-11-29,73,human_6,16:41:12.497,no_helmet,0.85,frames/frame_000073.jpg
2025-11-29,73,human_6,16:41:12.497,no_vest,0.73,frames/frame_000073.jpg
2025-11-29,120,human_5,16:41:25.396,no_helmet,0.73,frames/frame_000120.jpg
2025-11-29,136,human_5,16:41:30.903,no_vest,0.68,frames/frame_000136.jpg
2025-11-29,163,human_7,16:41:43.812,no_helmet,0.74,frames/frame_000163.jpg
2025-11-29,289,human_10,16:42:37.482,no_gloves,0.64,frames/frame_000289.jpg
2025-11-29,347,human_11,16:42:48.134,no_vest,0.53,frames/frame_000347.jpg
2025-11-29,350,human_13,16:42:48.754,no_vest,0.54,frames/frame_000350.jpg
2025-11-29,493,human_2,16:43:39.425,no_vest,0.57,frames/frame_000493.jpg
2025-11-29,495,human_5,16:43:39.817,no_vest,0.54,frames/frame_000495.jpg
2025-11-29,524,human_6,16:44:20.740,no_helmet,0.65,frames/frame_000524.jpg
2025-11-29,524,human_6,16:44:20.741,no_vest,0.72,frames/frame_000524.jpg
2025-11-29,530,human_6,16:44:21.743,no_gloves,0.71,frames/frame_000530.jpg
