date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-12-10,4,human_1,21:30:46.338,no_vest,0.84,frames/frame_000004.jpg
2025-12-10,4,human_2,21:30:46.338,no_vest,0.76,frames/frame_000004.jpg
2025-12-10,9,human_1,21:30:47.626,no_gloves,0.75,frames/frame_000009.jpg
2025-12-10,144,human_2,21:31:22.021,no_gloves,0.54,frames/frame_000144.jpg
2025-12-10,230,human_2,21:31:46.809,no_helmet,0.69,frames/frame_000230.jpg
2025-12-10,236,human_5,21:31:47.983,no_vest,0.66,frames/frame_000236.jpg
2025-12-10,246,human_1,21:31:49.852,no_helmet,0.74,frames/frame_000246.jpg
2025-12-10,249,human_1,21:31:53.131,no_helmet,0.7,frames/frame_000249.jpg
2025-12-10,256,human_2,21:31:54.117,no_vest,0.65,frames/frame_000256.jpg
2025-12-10,307,human_1,21:32:01.623,no_vest,0.64,frames/frame_000307.jpg
2025-12-10,407,human_4,21:32:24.616,no_helmet,0.71,frames/frame_000407.jpg
2025-12-10,410,human_5,21:32:25.087,no_vest,0.66,frames/frame_000410.jpg
2025-12-10,444,human_1,21:32:30.043,no_helmet,0.73,frames/frame_000444.jpg
2025-12-10,462,human_1,21:32:32.574,no_vest,0.64,frames/frame_000462.jpg
