date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-11-29,5,human_2,16:23:31.373,no_vest,0.77,frames/frame_000005.jpg
2025-11-29,6,human_2,16:23:31.504,no_gloves,0.76,frames/frame_000006.jpg
2025-11-29,257,human_3,16:24:16.373,no_helmet,0.68,frames/frame_000257.jpg
2025-11-29,258,human_3,16:24:16.656,no_vest,0.77,frames/frame_000258.jpg
2025-11-29,277,human_2,16:24:19.482,no_helmet,0.72,frames/frame_000277.jpg
2025-11-29,293,human_5,16:24:22.556,no_vest,0.77,frames/frame_000293.jpg
2025-11-29,300,human_5,16:24:23.709,no_helmet,0.8,frames/frame_000300.jpg
2025-11-29,305,human_5,16:24:24.346,no_gloves,0.68,frames/frame_000305.jpg
2025-11-29,380,human_7,16:24:38.328,no_vest,0.73,frames/frame_000380.jpg
2025-11-29,385,human_7,16:24:39.125,no_gloves,0.64,frames/frame_000385.jpg
2025-11-29,388,human_8,16:24:39.527,no_vest,0.78,frames/frame_000388.jpg
2025-11-29,389,human_6,16:24:39.664,no_vest,0.68,frames/frame_000389.jpg
2025-11-29,391,human_8,16:24:39.928,no_helmet,0.6,frames/frame_000391.jpg
2025-11-29,399,human_9,16:24:41.008,no_vest,0.62,frames/frame_000399.jpg
2025-11-29,402,human_9,16:24:41.419,no_helmet,0.66,frames/frame_000402.jpg
2025-11-29,409,human_4,16:24:42.368,no_vest,0.68,frames/frame_000409.jpg
2025-11-29,428,human_7,16:24:46.142,no_helmet,0.7,frames/frame_000428.jpg
