date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-12-19,3,human_1,23:07:18.073,no_helmet,0.84,frames/frame_000003.jpg
2025-12-19,4,human_2,23:07:18.453,no_vest,0.67,frames/frame_000004.jpg
2025-12-19,44,human_1,23:07:29.938,no_gloves,0.58,frames/frame_000044.jpg
2025-12-19,45,human_1,23:07:30.200,no_vest,0.3,frames/frame_000045.jpg
2025-12-19,102,human_6,23:07:49.080,no_helmet,0.77,frames/frame_000102.jpg
2025-12-19,147,human_6,23:08:02.602,no_gloves,0.4,frames/frame_000147.jpg
2025-12-19,185,human_8,23:08:27.184,no_helmet,0.77,frames/frame_000185.jpg
2025-12-19,194,human_1,23:08:30.282,no_helmet,0.76,frames/frame_000194.jpg
2025-12-19,228,human_1,23:08:40.311,no_gloves,0.48,frames/frame_000228.jpg
2025-12-19,276,human_4,23:08:58.256,no_helmet,0.77,frames/frame_000276.jpg
2025-12-19,283,human_2,23:09:00.407,no_helmet,0.8,frames/frame_000283.jpg
2025-12-19,364,human_3,23:09:32.080,no_helmet,0.77,frames/frame_000364.jpg
2025-12-19,365,human_1,23:09:32.382,no_vest,0.79,frames/frame_000365.jpg
2025-12-19,437,human_1,23:10:08.293,no_helmet,0.77,frames/frame_000437.jpg
2025-12-19,441,human_2,23:10:09.570,no_vest,0.61,frames/frame_000441.jpg
2025-12-19,516,human_1,23:10:41.123,no_helmet,0.79,frames/frame_000516.jpg
2025-12-19,520,human_2,23:10:42.413,no_vest,0.72,frames/frame_000520.jpg
2025-12-19,590,human_3,23:12:15.687,no_helmet,0.79,frames/frame_000590.jpg
2025-12-19,594,human_4,23:12:16.849,no_vest,0.7,frames/frame_000594.jpg
2025-12-19,607,human_6,23:14:31.742,no_vest,0.55,frames/frame_000607.jpg
2025-12-19,632,human_5,23:14:38.431,no_gloves,0.64,frames/frame_000632.jpg
2025-12-19,647,human_3,23:14:42.498,no_vest,0.6,frames/frame_000647.jpg
2025-12-19,694,human_1,23:14:55.304,no_gloves,0.72,frames/frame_000694.jpg
2025-12-19,710,human_2,23:15:00.044,no_vest,0.72,frames/frame_000710.jpg
