date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-12-13,3,human_1,14:20:18.297,no_vest,0.86,frames/frame_000003.jpg
2025-12-13,3,human_2,14:20:18.297,no_vest,0.81,frames/frame_000003.jpg
2025-12-13,6,human_1,14:20:19.541,no_gloves,0.75,frames/frame_000006.jpg
2025-12-13,17,human_3,14:20:23.379,no_vest,0.75,frames/frame_000017.jpg
2025-12-13,176,human_2,14:21:22.098,no_vest,0.53,frames/frame_000176.jpg
2025-12-13,201,human_1,14:21:28.912,no_gloves,0.68,frames/frame_000201.jpg
