date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-12-05,1,human_1,21:45:15.377,no_vest,0.75,frames/frame_000001.jpg
2025-12-05,12,human_1,21:45:17.853,no_helmet,0.81,frames/frame_000012.jpg
2025-12-05,20,human_1,21:45:19.397,no_gloves,0.71,frames/frame_000020.jpg
2025-12-05,367,human_4,21:46:37.452,no_vest,0.6,frames/frame_000367.jpg
2025-12-05,374,human_4,21:46:38.930,no_helmet,0.73,frames/frame_000374.jpg
2025-12-05,440,human_4,21:46:49.733,no_gloves,0.74,frames/frame_000440.jpg
2025-12-05,467,human_5,21:46:55.475,no_vest,0.81,frames/frame_000467.jpg
2025-12-05,468,human_5,21:46:55.581,no_helmet,0.8,frames/frame_000468.jpg
2025-12-05,504,human_5,21:47:01.255,no_gloves,0.77,frames/frame_000504.jpg
