date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-12-12,2,human_1,19:18:41.414,no_helmet,0.85,frames/frame_000002.jpg
2025-12-12,2,human_1,19:18:41.414,no_vest,0.81,frames/frame_000002.jpg
2025-12-12,24,human_2,19:18:48.780,no_helmet,0.7,frames/frame_000024.jpg
2025-12-12,35,human_2,19:18:52.300,no_vest,0.61,frames/frame_000035.jpg
2025-12-12,41,human_2,19:18:54.260,no_gloves,0.66,frames/frame_000041.jpg
2025-12-12,73,human_5,19:19:29.276,no_vest,0.75,frames/frame_000073.jpg
2025-12-12,75,human_5,19:19:29.977,no_helmet,0.77,frames/frame_000075.jpg
2025-12-12,85,human_1,19:19:35.435,no_helmet,0.52,frames/frame_000085.jpg
2025-12-12,85,human_1,19:19:35.435,no_vest,0.72,frames/frame_000085.jpg
2025-12-12,85,human_2,19:19:35.435,no_helmet,0.66,frames/frame_000085.jpg
2025-12-12,85,human_2,19:19:35.435,no_vest,0,frames/frame_000085.jpg
2025-12-12,85,human_2,19:19:35.435,no_gloves,0,frames/frame_000085.jpg
2025-12-12,103,human_1,19:19:55.665,no_helmet,0.52,frames/frame_000103.jpg
2025-12-12,103,human_1,19:19:55.665,no_vest,0.72,frames/frame_000103.jpg
2025-12-12,103,human_2,19:19:55.666,no_helmet,0.66,frames/frame_000103.jpg
2025-12-12,103,human_2,19:19:55.666,no_vest,0,frames/frame_000103.jpg
2025-12-12,103,human_2,19:19:55.666,no_gloves,0,frames/frame_000103.jpg
2025-12-12,130,human_1,19:20:04.723,no_helmet,0,frames/frame_000130.jpg
2025-12-12,130,human_1,19:20:04.723,no_vest,0,frames/frame_000130.jpg
2025-12-12,130,human_2,19:20:04.723,no_helmet,0.84,frames/frame_000130.jpg
2025-12-12,130,human_2,19:20:04.723,no_vest,0.81,frames/frame_000130.jpg
2025-12-12,130,human_2,19:20:04.723,no_gloves,0,frames/frame_000130.jpg
2025-12-12,134,human_1,19:20:05.998,no_helmet,0.77,frames/frame_000134.jpg
2025-12-12,134,human_1,19:20:05.999,no_vest,0,frames/frame_000134.jpg
2025-12-12,134,human_2,19:20:05.999,no_helmet,0.86,frames/frame_000134.jpg
2025-12-12,134,human_2,19:20:05.999,no_vest,0.81,frames/frame_000134.jpg
2025-12-12,134,human_2,19:20:05.999,no_gloves,0,frames/frame_000134.jpg
2025-12-12,137,human_1,19:20:06.934,no_helmet,0.79,frames/frame_000137.jpg
2025-12-12,137,human_1,19:20:06.934,no_vest,0.56,frames/frame_000137.jpg
2025-12-12,137,human_2,19:20:06.934,no_helmet,0.85,frames/frame_000137.jpg
2025-12-12,137,human_2,19:20:07.011,no_vest,0.85,frames/frame_000137.jpg
2025-12-12,137,human_2,19:20:07.012,no_gloves,0,frames/frame_000137.jpg
2025-12-12,140,human_1,19:20:07.918,no_helmet,0.8,frames/frame_000140.jpg
2025-12-12,140,human_1,19:20:07.918,no_vest,0.84,frames/frame_000140.jpg
2025-12-12,140,human_2,19:20:07.918,no_helmet,0.73,frames/frame_000140.jpg
2025-12-12,140,human_2,19:20:07.919,no_vest,0.62,frames/frame_000140.jpg
2025-12-12,140,human_2,19:20:07.919,no_gloves,0.7,frames/frame_000140.jpg
2025-12-12,144,human_1,19:20:09.293,no_helmet,0,frames/frame_000144.jpg
2025-12-12,144,human_1,19:20:09.294,no_vest,0.55,frames/frame_000144.jpg
2025-12-12,144,human_2,19:20:09.294,no_helmet,0,frames/frame_000144.jpg
2025-12-12,144,human_2,19:20:09.294,no_vest,0,frames/frame_000144.jpg
2025-12-12,147,human_1,19:20:10.137,no_helmet,0.64,frames/frame_000147.jpg
2025-12-12,147,human_1,19:20:10.137,no_vest,0.79,frames/frame_000147.jpg
2025-12-12,147,human_1,19:20:10.137,no_gloves,0.51,frames/frame_000147.jpg
