date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-12-12,28,human_2,22:48:05.981,no_vest,0.54,frames/frame_000028.jpg
2025-12-12,83,human_2,22:48:32.114,no_vest,0.6,frames/frame_000083.jpg
2025-12-12,136,human_8,22:48:53.197,no_gloves,0.57,frames/frame_000136.jpg
2025-12-12,180,human_5,22:49:09.260,no_gloves,0.6,frames/frame_000180.jpg
2025-12-12,184,human_2,22:49:10.588,no_gloves,0.58,frames/frame_000184.jpg
2025-12-12,218,human_2,22:49:30.596,no_vest,0.83,frames/frame_000218.jpg
2025-12-12,219,human_3,22:49:30.997,no_vest,0.74,frames/frame_000219.jpg
2025-12-12,222,human_4,22:49:32.175,no_helmet,0.78,frames/frame_000222.jpg
2025-12-12,222,human_4,22:49:32.175,no_vest,0.79,frames/frame_000222.jpg
2025-12-12,223,human_1,22:49:32.637,no_vest,0.64,frames/frame_000223.jpg
2025-12-12,230,human_3,22:49:35.306,no_helmet,0.64,frames/frame_000230.jpg
2025-12-12,243,human_1,22:49:40.500,no_helmet,0.72,frames/frame_000243.jpg
2025-12-12,280,human_2,22:49:54.909,no_helmet,0.76,frames/frame_000280.jpg
2025-12-12,291,human_2,22:50:03.137,no_vest,0.83,frames/frame_000291.jpg
2025-12-12,293,human_1,22:50:03.897,no_vest,0.68,frames/frame_000293.jpg
2025-12-12,293,human_3,22:50:03.897,no_helmet,0.73,frames/frame_000293.jpg
2025-12-12,293,human_3,22:50:03.898,no_vest,0.72,frames/frame_000293.jpg
2025-12-12,295,human_4,22:50:04.761,no_vest,0.83,frames/frame_000295.jpg
2025-12-12,304,human_1,22:50:08.837,no_helmet,0.67,frames/frame_000304.jpg
2025-12-12,316,human_4,22:50:13.367,no_helmet,0.73,frames/frame_000316.jpg
2025-12-12,356,human_2,22:50:28.275,no_helmet,0.76,frames/frame_000356.jpg
