date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-11-29,29,human_1,15:46:06.441,no_helmet,0.86,frames/frame_000029.jpg
2025-11-29,29,human_1,15:46:06.442,no_vest,0.63,frames/frame_000029.jpg
2025-11-29,35,human_1,15:46:08.076,no_gloves,0.61,frames/frame_000035.jpg
2025-11-29,235,human_2,15:47:23.970,no_vest,0.64,frames/frame_000235.jpg
2025-11-29,236,human_3,15:47:24.399,no_vest,0.71,frames/frame_000236.jpg
2025-11-29,242,human_5,15:47:27.134,no_vest,0.83,frames/frame_000242.jpg
2025-11-29,256,human_2,15:47:32.446,no_helmet,0.71,frames/frame_000256.jpg
2025-11-29,258,human_5,15:47:32.928,no_helmet,0.75,frames/frame_000258.jpg
2025-11-29,308,human_1,15:47:55.008,no_vest,0.64,frames/frame_000308.jpg
2025-11-29,313,human_2,15:47:57.427,no_vest,0.59,frames/frame_000313.jpg
2025-11-29,331,human_2,15:48:03.151,no_helmet,0.72,frames/frame_000331.jpg
2025-11-29,332,human_1,15:48:03.470,no_helmet,0.75,frames/frame_000332.jpg
2025-11-29,348,human_4,15:48:10.433,no_vest,0.76,frames/frame_000348.jpg
2025-11-29,353,human_5,15:48:26.156,no_vest,0.77,frames/frame_000353.jpg
2025-11-29,364,human_5,15:48:29.233,no_gloves,0.76,frames/frame_000364.jpg
2025-11-29,489,human_5,15:49:03.516,no_helmet,0.61,frames/frame_000489.jpg
2025-11-29,489,human_2,15:49:03.517,no_gloves,0.63,frames/frame_000489.jpg
