date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-12-12,2,human_1,19:31:33.550,no_helmet,0.85,frames/frame_000002.jpg
2025-12-12,2,human_1,19:31:33.550,no_vest,0.82,frames/frame_000002.jpg
2025-12-12,24,human_2,19:31:40.568,no_helmet,0.54,frames/frame_000024.jpg
2025-12-12,38,human_2,19:31:45.200,no_vest,0.7,frames/frame_000038.jpg
2025-12-12,42,human_2,19:31:46.580,no_gloves,0.65,frames/frame_000042.jpg
2025-12-12,77,human_1,19:32:17.800,no_vest,0.76,frames/frame_000077.jpg
2025-12-12,79,human_2,19:32:18.401,no_helmet,0.64,frames/frame_000079.jpg
2025-12-12,80,human_1,19:32:18.721,no_helmet,0.83,frames/frame_000080.jpg
2025-12-12,91,human_2,19:32:22.467,no_helmet,0.88,frames/frame_000091.jpg
2025-12-12,92,human_2,19:32:22.795,no_vest,0.74,frames/frame_000092.jpg
2025-12-12,104,human_1,19:32:26.859,no_helmet,0.76,frames/frame_000104.jpg
2025-12-12,110,human_1,19:32:33.224,no_vest,0.65,frames/frame_000110.jpg
2025-12-12,188,human_1,19:32:57.403,no_gloves,0.6,frames/frame_000188.jpg
