date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-12-12,3,human_2,22:54:02.170,no_vest,0.63,frames/frame_000003.jpg
2025-12-12,3,human_1,22:54:02.170,no_helmet,0.83,frames/frame_000003.jpg
2025-12-12,3,human_1,22:54:02.170,no_vest,0.77,frames/frame_000003.jpg
2025-12-12,4,human_2,22:54:02.526,no_helmet,0.61,frames/frame_000004.jpg
2025-12-12,4,human_1,22:54:02.526,no_gloves,0.77,frames/frame_000004.jpg
2025-12-12,29,human_2,22:54:11.239,no_gloves,0.52,frames/frame_000029.jpg
2025-12-12,106,human_5,22:54:45.196,no_helmet,0.79,frames/frame_000106.jpg
2025-12-12,111,human_6,22:54:46.731,no_vest,0.78,frames/frame_000111.jpg
2025-12-12,131,human_1,22:54:52.825,no_helmet,0.78,frames/frame_000131.jpg
2025-12-12,138,human_2,22:54:54.683,no_vest,0.58,frames/frame_000138.jpg
2025-12-12,230,human_5,22:55:28.699,no_vest,0.54,frames/frame_000230.jpg
2025-12-12,257,human_3,22:55:36.583,no_vest,0.56,frames/frame_000257.jpg
2025-12-12,263,human_2,22:55:38.993,no_vest,0.78,frames/frame_000263.jpg
2025-12-12,303,human_1,22:55:55.013,no_vest,0.8,frames/frame_000303.jpg
2025-12-12,426,human_4,22:56:38.081,no_vest,0.51,frames/frame_000426.jpg
2025-12-12,447,human_5,22:56:45.203,no_vest,0.7,frames/frame_000447.jpg
2025-12-12,602,human_8,22:57:22.117,no_vest,0.77,frames/frame_000602.jpg
2025-12-12,604,human_9,22:57:22.620,no_vest,0.71,frames/frame_000604.jpg
2025-12-12,610,human_10,22:57:24.097,no_vest,0.51,frames/frame_000610.jpg
2025-12-12,612,human_6,22:57:24.566,no_vest,0.71,frames/frame_000612.jpg
2025-12-12,673,human_6,22:57:41.437,no_helmet,0.55,frames/frame_000673.jpg
2025-12-12,688,human_13,22:57:45.187,no_vest,0.7,frames/frame_000688.jpg
2025-12-12,710,human_12,22:57:50.397,no_vest,0.69,frames/frame_000710.jpg
2025-12-12,754,human_12,22:58:06.977,no_helmet,0.67,frames/frame_000754.jpg
2025-12-12,761,human_1,22:58:09.323,no_vest,0.8,frames/frame_000761.jpg
2025-12-12,766,human_1,22:58:10.488,no_helmet,0.75,frames/frame_000766.jpg
2025-12-12,782,human_1,22:58:14.018,no_gloves,0.81,frames/frame_000782.jpg
