date,frame_id,human_id,processing_time,violation_type,violation_probability,screenshot_path
2025-12-12,43,human_2,22:52:16.135,no_vest,0.58,frames/frame_000043.jpg
2025-12-12,125,human_1,22:52:49.857,no_vest,0.68,frames/frame_000125.jpg
2025-12-12,125,human_2,22:52:49.857,no_helmet,0.73,frames/frame_000125.jpg
2025-12-12,125,human_2,22:52:49.857,no_vest,0.71,frames/frame_000125.jpg
2025-12-12,129,human_1,22:52:51.398,no_helmet,0.66,frames/frame_000129.jpg
2025-12-12,131,human_2,22:52:52.100,no_gloves,0.78,frames/frame_000131.jpg
2025-12-12,154,human_1,22:53:00.212,no_gloves,0.55,frames/frame_000154.jpg
