                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6992,                 2.6423,                 1.9352,                0.67673,                0.60534,                0.65663,                0.36416,                 1.8374,                 2.6622,                 2.1329,              0.0097713,              0.0097713,              0.0097713
                     36,                 1.7073,                 2.7082,                 1.9483,                 0.6621,                0.60523,                0.64725,                0.35854,                 1.8228,                 2.7111,                 2.1586,              0.0097577,              0.0097577,              0.0097577
                     37,                 1.7004,                 2.6904,                 1.9568,                0.66759,                0.62042,                0.66765,                0.36563,                 1.8698,                   2.66,                 2.1597,              0.0097438,              0.0097438,              0.0097438
                     38,                 1.7287,                 2.7134,                 1.9732,                0.70194,                0.57205,                 0.6458,                0.34963,                 1.9033,                 2.8859,                 2.2229,              0.0097295,              0.0097295,              0.0097295
                     39,                  1.742,                 2.6839,                 1.9666,                0.59547,                0.61873,                0.62375,                0.34391,                 1.8505,                 2.8186,                 2.1715,              0.0097148,              0.0097148,              0.0097148
                     40,                 1.7041,                 2.7083,                  1.957,                0.65042,                0.59717,                0.63167,                0.34912,                 1.8834,                 2.8182,                 2.2221,              0.0096998,              0.0096998,              0.0096998
                     41,                 1.7025,                 2.7325,                 1.9809,                0.66777,                0.63296,                0.66721,                0.38223,                 1.7786,                 2.5917,                  2.135,              0.0096844,              0.0096844,              0.0096844
                     42,                 1.6941,                 2.6356,                  1.942,                0.65543,                0.59524,                0.65355,                0.36185,                 1.8155,                 2.6329,                  2.149,              0.0096686,              0.0096686,              0.0096686
                     43,                 1.6885,                 2.6214,                 1.9438,                0.66724,                0.61742,                0.65835,                0.36336,                 1.8117,                 2.7182,                 2.1355,              0.0096524,              0.0096524,              0.0096524
                     44,                 1.6874,                 2.6542,                 1.9319,                0.73561,                0.61603,                0.67519,                0.38556,                 1.7874,                 2.5189,                 2.0915,              0.0096359,              0.0096359,              0.0096359
                     45,                 1.6529,                  2.584,                 1.9127,                0.71082,                0.62375,                0.67313,                0.38321,                 1.7699,                 2.5819,                 2.1006,              0.0096189,              0.0096189,              0.0096189
                     46,                 1.6151,                 2.4883,                 1.8681,                0.63768,                0.61599,                0.65776,                0.37335,                 1.7919,                 2.6276,                 2.1336,              0.0096017,              0.0096017,              0.0096017
                     47,                 1.6398,                 2.4677,                 1.8868,                0.73243,                0.60113,                 0.6633,                0.37922,                 1.7881,                 2.5983,                 2.0854,               0.009584,               0.009584,               0.009584
                     48,                 1.6562,                 2.6038,                 1.9071,                0.63501,                0.60545,                0.64842,                0.35481,                 1.8171,                 2.7037,                 2.1189,               0.009566,               0.009566,               0.009566
                     49,                 1.6229,                 2.4862,                 1.8969,                 0.7297,                0.65718,                0.69518,                0.40693,                 1.7598,                 2.4846,                 2.1129,              0.0095476,              0.0095476,              0.0095476
                     50,                 1.6587,                 2.5492,                 1.9164,                 0.7287,                 0.6281,                 0.6897,                0.38801,                 1.7786,                 2.4666,                 2.0979,              0.0095289,              0.0095289,              0.0095289
                     51,                 1.6615,                 2.5366,                 1.9183,                0.67307,                 0.6054,                0.65908,                0.37497,                 1.7564,                 2.6904,                 2.0884,              0.0095098,              0.0095098,              0.0095098
                     52,                 1.6493,                 2.5718,                 1.9399,                0.67863,                0.63205,                0.67184,                0.38115,                 1.8403,                 2.5958,                 2.1782,              0.0094903,              0.0094903,              0.0094903
                     53,                 1.6555,                 2.5112,                 1.8958,                0.72585,                0.64429,                0.69206,                 0.4001,                 1.7454,                 2.5001,                  2.096,              0.0094705,              0.0094705,              0.0094705
                     54,                  1.637,                  2.471,                 1.8969,                0.67736,                0.66365,                0.68626,                0.39812,                 1.7208,                 2.5049,                 2.0633,              0.0094504,              0.0094504,              0.0094504
                     55,                  1.629,                 2.4312,                 1.8962,                0.69795,                 0.6049,                 0.6657,                0.36795,                 1.8442,                 2.5615,                 2.1797,              0.0094298,              0.0094298,              0.0094298
                     56,                 1.6223,                  2.427,                 1.8781,                0.72911,                 0.6429,                0.69215,                0.40128,                 1.7356,                 2.4371,                 2.0703,              0.0094089,              0.0094089,              0.0094089
                     57,                 1.6305,                 2.4567,                 1.8773,                0.66978,                0.62254,                0.65623,                0.38367,                 1.7781,                 2.6362,                  2.136,              0.0093877,              0.0093877,              0.0093877
                     58,                  1.628,                 2.4934,                 1.9093,                0.71918,                0.64249,                0.70224,                0.40725,                 1.7129,                 2.4234,                 2.0375,              0.0093661,              0.0093661,              0.0093661
                     59,                 1.6211,                 2.3618,                 1.8475,                0.69064,                0.61929,                0.67091,                0.37346,                 1.7607,                 2.4962,                 2.0799,              0.0093442,              0.0093442,              0.0093442
                     60,                 1.6198,                 2.4146,                  1.877,                0.71733,                0.63402,                0.69202,                0.38465,                 1.7869,                 2.5185,                 2.0952,              0.0093219,              0.0093219,              0.0093219
                     61,                 1.6063,                 2.4364,                 1.8662,                0.74804,                0.62537,                0.69517,                 0.3935,                  1.766,                 2.5032,                 2.0846,              0.0092993,              0.0092993,              0.0092993
                     62,                 1.5811,                 2.3534,                 1.8515,                0.73677,                0.63786,                 0.6918,                 0.4025,                 1.7533,                  2.383,                 2.0621,              0.0092764,              0.0092764,              0.0092764
                     63,                 1.6093,                  2.322,                 1.8682,                0.69676,                 0.6454,                0.67238,                0.38769,                 1.7942,                 2.5591,                 2.1117,              0.0092531,              0.0092531,              0.0092531
                     64,                 1.5817,                  2.319,                 1.8539,                0.69885,                0.66847,                0.70499,                0.41192,                 1.7006,                 2.3384,                 2.0243,              0.0092294,              0.0092294,              0.0092294
                     65,                 1.5981,                 2.3175,                 1.8546,                0.75722,                0.63365,                0.69929,                0.40354,                 1.7655,                 2.4434,                 2.0798,              0.0092054,              0.0092054,              0.0092054
                     66,                 1.5529,                 2.2912,                 1.8192,                0.72684,                 0.6446,                 0.6952,                 0.4063,                 1.7103,                 2.3812,                 2.0401,              0.0091811,              0.0091811,              0.0091811
                     67,                 1.5675,                 2.2737,                 1.8237,                0.76296,                0.66928,                0.73001,                0.43086,                 1.6884,                 2.2659,                  2.006,              0.0091565,              0.0091565,              0.0091565
                     68,                 1.6146,                 2.3243,                 1.8704,                0.75491,                0.65905,                0.71206,                0.40447,                  1.763,                 2.3921,                 2.0778,              0.0091315,              0.0091315,              0.0091315
                     69,                 1.5687,                 2.2962,                 1.8455,                 0.7343,                0.65712,                0.71297,                0.41764,                 1.7115,                 2.2695,                 2.0243,              0.0091062,              0.0091062,              0.0091062
                     70,                 1.5879,                 2.2707,                 1.8297,                0.74878,                0.67267,                0.72635,                0.42974,                 1.6971,                 2.3011,                 2.0024,              0.0090806,              0.0090806,              0.0090806
                     71,                 1.5532,                 2.2097,                 1.8291,                0.70628,                0.65822,                0.69936,                0.40069,                 1.7683,                 2.3884,                 2.1084,              0.0090546,              0.0090546,              0.0090546
                     72,                  1.574,                 2.2716,                 1.8426,                0.73442,                0.64402,                0.70147,                0.40815,                 1.6985,                 2.3357,                 2.0298,              0.0090284,              0.0090284,              0.0090284
                     73,                 1.5771,                 2.3095,                 1.8522,                0.74222,                0.62734,                0.69044,                0.38766,                 1.7788,                 2.4058,                 2.0754,              0.0090018,              0.0090018,              0.0090018
                     74,                 1.5756,                 2.2526,                 1.8363,                0.67572,                0.66483,                0.69347,                0.39344,                 1.7453,                  2.474,                 2.0706,              0.0089748,              0.0089748,              0.0089748
